Squat,Bench,Deadlift,Total,Gender,Private
205,125,275,605,Female,Please publish my results
245,155,275,675,Male,Please keep my results private
405,305,425,1135,Male,Please publish my results
95,95,95,285,Male,Please keep my results private
325,275,405,1005,Male,Please publish my results
335,255,455,1045,Male,Please publish my results
245,255,375,875,Male,Please publish my results
495,265,475,1235,Male,Please publish my results
285,240,350,875,Male,Please publish my results
395,250,450,1095,Male,Please publish my results
352.8,308.7,485.1,1146.6,Male,Please publish my results
135,135,150,420,Male,Please publish my results
355,215,435,1005,Male,Please publish my results
315,185,405,905,Male,Please keep my results private
355,275,365,995,Male,Please publish my results
425,295,405,1125,Male,Please publish my results
135,135,135,405,Male,Please publish my results
540,330.6,585,1455.6,Male,Please publish my results
303.1875,231.525,363.825,898.5375,Female,Please publish my results
507.15,275.625,540.225,1323,Male,Please publish my results
48,48,48,144,Male,Please keep my results private
365,275,275,915,Male,Please keep my results private
225,185,350,760,Male,Please keep my results private
297.675,209.475,385.875,893.025,Male,Please publish my results
312.5,255,475,1042.5,Male,Please publish my results
120,225,225,570,Male,Please publish my results
245,192.5,330,767.5,Male,Please publish my results
230,215,240,685,Male,Please keep my results private
535,405,660,1600,Male,Please publish my results
425,315,585,1325,Male,Please publish my results
425,0,0,425,Male,Please publish my results
245,150,295,690,Female,Please publish my results
380,275,405,1060,Male,Please publish my results
605,308,560,1473,Male,Please publish my results
410,350,455,1215,Male,Please publish my results
303,287,375,965,Male,Please publish my results
440,315,500,1255,Male,Please publish my results
192.5,132,192.5,517,Male,Please publish my results
275,210,405,890,Male,Please publish my results
185,125,210,520,Female,Please publish my results
277,167,407,851,Male,Please publish my results
400,255,0,655,Male,Please publish my results
515,505,701,1721,Male,Please publish my results
685,430,635,1750,Male,Please publish my results
495,405,405,1305,Male,Please publish my results
585,405,569,1559,Male,Please publish my results
360,240,315,915,Male,Please keep my results private
15,15,15,45,Female,Please keep my results private
405,245,550,1200,Male,Please publish my results
385,275,405,1065,Male,Please keep my results private
5,5,5,15,Female,Please keep my results private
382,175,265,822,Female,Please publish my results
395,370,575,1340,Male,Please publish my results
315,225,375,915,Male,Please publish my results
425,365,585,1375,Male,Please publish my results
367,267,387,1021,Male,Please publish my results
295,210,405,910,Male,Please publish my results
225,175,295,695,Male,Please publish my results
415,325,565,1305,Male,Please publish my results
167.5,117.5,200,485,Male,Please publish my results
320,220,355,895,Male,Please keep my results private
0,165,235,400,Female,Please publish my results
410,250,275,935,Male,Please keep my results private
365,0,0,365,Male,Please publish my results
440,330,475,1245,Male,Please publish my results
425,245,465,1135,Male,Please publish my results
135,325,545,1005,Male,Please publish my results
245,245,330,820,Male,Please publish my results
305,180,405,890,Male,Please publish my results
117.5,0,0,117.5,Female,Please publish my results
205,125,245,575,Female,Please publish my results
407.925,352.8,496.125,1256.85,Male,Please keep my results private
345,245,435,1025,Male,Please publish my results
360,240,500,1100,Male,Please publish my results
540,390,584,1514,Male,Please publish my results
375,290,435,1100,Male,Please publish my results
185,225,365,775,Male,Please publish my results
160,225,245,630,Male,Please publish my results
415,255,365,1035,Male,Please publish my results
15,25,25,65,Female,Please publish my results
25,25,25,75,Male,Please publish my results
340,225,405,970,Male,Please publish my results
437,255,558,1250,Male,Please publish my results
253,143,275,671,Female,Please publish my results
474.075,264.6,485.1,1223.775,Male,Please publish my results
245,141,225,611,Female,Please publish my results
585,295,545,1425,Male,Please publish my results
330.75,132.3,452.025,915.075,Male,Please keep my results private
535,325,425,1285,Male,Please publish my results
260,155,305,720,Female,Please publish my results
485,345,550,1380,Male,Please publish my results
305,265,345,915,Male,Please publish my results
405,315,455,1175,Male,Please publish my results
235,135,285,655,Female,Please publish my results
355,245,435,1035,Male,Please publish my results
430,320,510,1260,Male,Please publish my results
280,130,335,745,Female,Please publish my results
250,185,365,800,Male,Please publish my results
198,121,250,569,Female,Please publish my results
285,225,405,915,Male,Please publish my results
120,75,130,325,Female,Please publish my results
405,250,495,1150,Male,Please keep my results private
0,0,15,15,Female,Please keep my results private
0,0,15,15,Male,Please keep my results private
560,379,500,1439,Male,Please publish my results
245,160,235,640,Male,Please publish my results
360,0,0,360,Male,Please publish my results
525,345,605,1475,Male,Please publish my results
485,365,475,1325,Male,Please publish my results
200,135,245,580,Female,Please publish my results
265,145,320,730,Male,Please keep my results private
295,165,275,735,Male,Please keep my results private
305,180,350,835,Female,Please publish my results
275,165,313.5,753.5,Male,Please publish my results
35,23,60,118,Male,Please publish my results
286.65,165.375,286.65,738.675,Female,Please publish my results
560,325,555,1440,Male,Please publish my results
315,225,325,865,Male,Please publish my results
222,152,310,684,Female,Please publish my results
343.5,245,341,929.5,Male,Please publish my results
265,175,255,695,Male,Please publish my results
475,275,455,1205,Male,Please publish my results
10,10,17,37,Female,Please publish my results
275,155,315,745,Female,Please publish my results
10,10,17,37,Male,Please publish my results
95,80,145,320,Female,Please keep my results private
75,80,125,280,Female,Please keep my results private
45,45,65,155,Male,Please keep my results private
95,45,205,345,Male,Please keep my results private
125,120,205,450,Female,Please keep my results private
65,55,125,245,Female,Please keep my results private
250,180,300,730,Male,Please publish my results
425,255,450,1130,Male,Please publish my results
0,35,95,130,Female,Please keep my results private
55,55,65,175,Male,Please keep my results private
0,45,65,110,Male,Please keep my results private
405,225,450,1080,Male,Please publish my results
335,225,415,975,Male,Please publish my results
35,225,235,495,Male,Please publish my results
359,220,420,999,Male,Please keep my results private
335,235,315,885,Male,Please publish my results
185,115,245,545,Female,Please publish my results
290,150,355,795,Female,Please publish my results
315,145,425,885,Male,Please publish my results
315,225,405,945,Male,Please keep my results private
326,235,365,926,Male,Please publish my results
465,255,465,1185,Male,Please publish my results
500,315,485,1300,Male,Please publish my results
95,85,135,315,Female,Please keep my results private
0,90,0,90,Male,Please keep my results private
143.3,126.8,205,475.1,Female,Please publish my results
315.5,315.5,370.5,1001.5,Male,Please keep my results private
507.1,325,564.4,1396.5,Male,Please publish my results
405,275,423,1103,Male,Please publish my results
285,135,285,705,Female,Please publish my results
265,135,405,805,Male,Please publish my results
485.1,319.725,606.375,1411.2,Male,Please publish my results
0,185,255,440,Male,Please publish my results
320,305,415,1040,Male,Please keep my results private
672.2,529,505,1706.2,Male,Please publish my results
52.9,30,143,225.9,Female,Please publish my results
926.1,529.2,970.2,2425.5,Male,Please publish my results
205,105,235,545,Female,Please keep my results private
550,315,655,1520,Male,Please publish my results
215,155,340,710,Male,Please publish my results
315,220,340,875,Male,Please publish my results
0,100,300,400,Female,Please publish my results
285,205,315,805,Male,Please publish my results
225,225,315,765,Male,Please publish my results
155,85,210,450,Female,Please keep my results private
205,155,225,585,Male,Please publish my results
220,125,245,590,Female,Please publish my results
425,225,531,1181,Male,Please publish my results
315,225,447,987,Male,Please publish my results
565,435,580,1580,Male,Please publish my results
365,295,360,1020,Male,Please publish my results
550,440,515,1505,Male,Please publish my results
485.1,292.1625,600.8625,1378.125,Male,Please publish my results
402,295,485,1182,Male,Please publish my results
305,255,370,930,Male,Please publish my results
245,125,225,595,Female,Please publish my results
501,286,615,1402,Male,Please publish my results
145,95,275,515,Female,Please publish my results
225,165,300,690,Female,Please publish my results
185,0,288,473,Female,Please publish my results
515,425,360,1300,Male,Please publish my results
518,315,624,1457,Male,Please publish my results
385,270,415,1070,Male,Please keep my results private
445,355,455,1255,Male,Please publish my results
108,55,153,316,Female,Please publish my results
53,36,105,194,Female,Please publish my results
15,20,70,105,Female,Please publish my results
61,32,93,186,Female,Please publish my results
0,45,65,110,Male,Please publish my results
65,45,135,245,Male,Please keep my results private
352.8,176.4,452.025,981.225,Male,Please publish my results
20,20,55,95,Female,Please publish my results
0,0,60,60,Male,Please publish my results
275,210,320,805,Male,Please publish my results
200,160,255,615,Male,Please keep my results private
105,85,150,340,Male,Please keep my results private
50,20,90,160,Male,Please keep my results private
40,62,115,217,Female,Please publish my results
24,20,57,101,Female,Please keep my results private
14,13.5,23,50.5,Male,Please publish my results
190,90,205,485,Female,Please publish my results
15,5,35,55,Female,Please publish my results
495,315,980,1790,Male,Please publish my results
15,17,35,67,Male,Please keep my results private
0,0,45,45,Male,Please publish my results
150,90,235,475,Female,Please publish my results
120,66,148.5,334.5,Female,Please publish my results
95,66,135,296,Male,Please publish my results
140,85,185,410,Female,Please publish my results
85,48.5,95,228.5,Male,Please publish my results
110,60,135,305,Male,Please publish my results
295,185,405,885,Male,Please publish my results
295,235,345,875,Male,Please publish my results
85,70,100,255,Female,Please publish my results
135,135,185,455,Male,Please publish my results
55,35,85,175,Male,Please publish my results
20,20,36,76,Male,Please publish my results
50,45,105,200,Male,Please keep my results private
55,40,75,170,Male,Please publish my results
35,35,65,135,Male,Please publish my results
52,37,102,191,Male,Please publish my results
0,363.825,0,363.825,Male,Please publish my results
405,225,405,1035,Male,Please publish my results
30,6,30,66,Female,Please publish my results
145,57.5,145,347.5,Female,Please publish my results
425,250,495,1170,Male,Please publish my results
245,245,335,825,Male,Please publish my results
365,205,445,1015,Male,Please keep my results private
305,225,405,935,Male,Please publish my results
100,100,100,300,Male,Please publish my results
396.9,292.1625,474.075,1163.1375,Male,Please publish my results
308.7,264.6,441,1014.3,Male,Please publish my results
315,225,385,925,Male,Please publish my results
335,205,405,945,Male,Please publish my results
185,135,245,565,Male,Please publish my results
110.25,110.25,308.7,529.2,Male,Please publish my results
463.05,308.7,485.1,1256.85,Male,Please publish my results
390,290,475,1155,Male,Please publish my results
65,75,65,205,Female,Please publish my results
35.3,15,135,185.3,Female,Please publish my results
245,165,0,410,Male,Please publish my results
115.3215,55.125,628.425,798.8715,Male,Please publish my results
25,25,25,75,Female,Please publish my results
0,0,53,53,Female,Please keep my results private
0,11.025,0,11.025,Female,Please keep my results private
1,1,1,3,Female,Please keep my results private
45,45,75,165,Male,Please keep my results private
65,45,0,110,Male,Please keep my results private
0,22.05,0,22.05,Female,Please keep my results private
