Squat,Bench,Deadlift,Total,Gender
305,245,425,975,Male
95,95,185,375,Female
315,205,355,875,Female
275,205,365,845,Male
285,235,0,520,Male
350,285,0,635,Male
365,225,315,905,Male
115,60,135,310,Female
375,350,415,1140,Male
425,295,500,1220,Male
165,95,200,460,Female
155,85,225,465,Female
205,105,260,570,Female
244,174,314,732,Male
400,275,365,1040,Male
245,225,275,745,Male
145,90,180,415,Male
150,84,170,404,Male
374,253,418,1045,Male
246,176,319,741,Male
330,285,395,1010,Male
156,113,180,449,Male
231,165,275,671,Female
335,195,385,915,Male
225,225,340,790,Male
75,52.5,102.5,230,Female
415,320,525,1260,Male
300,205,345,850,Male
275,145,275,695,Female
415,260,450,1125,Male
225,95,135,455,Female
275,180,300,755,Male
192,129,205,526,Male
330,260,385,975,Male
140,130,140,410,Male
505,335,595,1435,Male
235,190,285,710,Male
425,365,465,1255,Male
450,300,550,1300,Male
500,340,455,1295,Male
225,245,370,840,Male
172.5,67.5,202.5,442.5,Female
165,102.5,190,457.5,Male
225,130,275,630,Female
110,60,110,280,Female
175,100,170,445,Female
275,225,365,865,Male
355,200,375,930,Male
370,360,460,1190,Male
455,315,500,1270,Male
365,260,375,1000,Male
355,225,450,1030,Male
385,275,425,1085,Male
165,95,195,455,Female
455,265,485,1205,Male
115,65,135,315,Female
235,195,335,765,Male
475,325,565,1365,Male
415,250,455,1120,Male
248,248,203,699,Male
545,365,585,1495,Male
445,265,415,1125,Male
747,387,774,1908,Male
135,95,225,455,Female
155,85,185,425,Female
401.2,242,418,1061.2,Male
315,230,405,950,Male
230,135,280,645,Female
365,250,415,1030,Male
475,275,615,1365,Male
345,260,395,1000,Male
205,115,275,595,Female
350,250,480,1080,Male
528,365,640,1533,Male
420,330,410,1160,Male
215,105,175,495,Female
226,115,248,589,Female
225,145,225,595,Female
355,250,455,1060,Male
315,195,305,815,Male
405,310,525,1240,Male
355,280,435,1070,Male
405,315,500,1220,Male
295,135,285,715,Female
315,195,475,985,Male
55,30,65,150,Female
295,245,340,880,Male
463,298,595,1356,Male
401.5,240,500,1141.5,Male
250,145,310,705,Female
455,335,585,1375,Male
360,220,420,1000,Male
345,195,370,910,Female
385,340,550,1275,Male
340,295,465,1100,Male
565,405,675,1645,Male
335,215,375,925,Male
115,75,115,305,Male
235,225,325,785,Male
